city,day,facade,street_width_m,opposite_height_m,floor,direct_sun_h
Florence,winter,south,20,18,2,0
Florence,winter,south,20,18,3,3.3
Florence,winter,south,20,18,4,6.5
Florence,winter,south,20,18,5,8.2
Florence,winter,south,30,18,0,0
Florence,winter,south,30,18,1,0
Florence,winter,south,30,18,2,4.2
Florence,winter,south,30,18,3,6.2
Florence,winter,south,30,18,4,7.5
Florence,winter,south,30,18,5,8.4
Florence,winter,east_or_west,8,18,0,0.7
Florence,winter,east_or_west,8,18,1,0.8
Florence,winter,east_or_west,8,18,2,1
Florence,winter,east_or_west,8,18,3,1.4
Florence,winter,east_or_west,8,18,4,2.1
Florence,winter,east_or_west,8,18,5,3.3
Florence,winter,east_or_west,12,18,0,1
Florence,winter,east_or_west,12,18,1,1.2
Florence,winter,east_or_west,12,18,2,1.5
Florence,winter,east_or_west,12,18,3,1.9
Florence,winter,east_or_west,12,18,4,2.6
Florence,winter,east_or_west,12,18,5,3.7
Florence,winter,east_or_west,20,18,0,1.6
Florence,winter,east_or_west,20,18,1,1.8
Florence,winter,east_or_west,20,18,2,2.2
Florence,winter,east_or_west,20,18,3,2.7
Florence,winter,east_or_west,20,18,4,3.2
Florence,winter,east_or_west,20,18,5,3.9
Florence,winter,east_or_west,30,18,0,2.2
Florence,winter,east_or_west,30,18,1,2.4
Florence,winter,east_or_west,30,18,2,2.8
Florence,winter,east_or_west,30,18,3,3.1
Florence,winter,east_or_west,30,18,4,3.5
Florence,winter,east_or_west,30,18,5,4
Naples,spring,south,8,18,0,0
Naples,spring,south,8,18,1,0
Naples,spring,south,8,18,2,0
Naples,spring,south,8,18,3,11.8
Naples,spring,south,8,18,4,11.8
Naples,spring,south,8,18,5,11.8
Naples,spring,south,12,18,0,0
Naples,spring,south,12,18,1,0.3
Naples,spring,south,12,18,2,11.8
Naples,spring,south,12,18,3,11.8
Naples,spring,south,12,18,4,11.8
Naples,spring,south,12,18,5,11.8
Naples,spring,south,20,18,0,11.8
Naples,spring,south,20,18,1,11.8
Naples,spring,south,20,18,2,11.8
Naples,spring,south,20,18,3,11.8
Naples,spring,south,20,18,4,11.8
Naples,spring,south,20,18,5,11.8
Naples,spring,south,30,18,0,11.8
Naples,spring,south,30,18,1,11.8
Naples,spring,south,30,18,2,11.8
Naples,spring,south,30,18,3,11.8
Naples,spring,south,30,18,4,11.8
Naples,spring,south,30,18,5,11.8
Naples,spring,east_or_west,8,18,0,1.2
Naples,spring,east_or_west,8,18,1,1.5
Naples,spring,east_or_west,8,18,2,1.9
Naples,spring,east_or_west,8,18,3,2.5
Naples,spring,east_or_west,8,18,4,3.4
Naples,spring,east_or_west,8,18,5,5
Naples,spring,east_or_west,12,18,0,1.8
Naples,spring,east_or_west,12,18,1,2.2
Naples,spring,east_or_west,12,18,2,2.6
Naples,spring,east_or_west,12,18,3,3.3
Naples,spring,east_or_west,12,18,4,4.2
Naples,spring,east_or_west,12,18,5,5.3
Naples,spring,east_or_west,20,18,0,2.8
Naples,spring,east_or_west,20,18,1,3.2
Naples,spring,east_or_west,20,18,2,3.6
Naples,spring,east_or_west,20,18,3,4.2
Naples,spring,east_or_west,20,18,4,4.8
Naples,spring,east_or_west,20,18,5,5.6
Naples,spring,east_or_west,30,18,0,3.5
Naples,spring,east_or_west,30,18,1,3.8
Naples,spring,east_or_west,30,18,2,4.3
Naples,spring,east_or_west,30,18,3,4.7
Naples,spring,east_or_west,30,18,4,5.2
Naples,spring,east_or_west,30,18,5,5.7
Naples,summer,south,8,18,0,7.7
Naples,summer,south,8,18,1,7.7
Naples,summer,south,8,18,2,7.7
Naples,summer,south,8,18,3,7.7
Naples,summer,south,8,18,4,7.7
Naples,summer,south,8,18,5,7.7
Naples,summer,south,12,18,0,7.7
Naples,summer,south,12,18,1,7.7
Naples,summer,south,12,18,2,7.7
Naples,summer,south,12,18,3,7.7
Naples,summer,south,12,18,4,7.7
Naples,summer,south,12,18,5,7.7
Naples,summer,south,20,18,0,7.7
Naples,summer,south,20,18,1,7.7
Naples,summer,south,20,18,2,7.7
Naples,summer,south,20,18,3,7.7
Naples,summer,south,20,18,4,7.7
Naples,summer,south,20,18,5,7.7
Naples,summer,south,30,18,0,7.7
Naples,summer,south,30,18,1,7.7
Naples,summer,south,30,18,2,7.7
Naples,summer,south,30,18,3,7.7
Naples,summer,south,30,18,4,7.7
Naples,summer,south,30,18,5,7.7
Naples,summer,east_or_west,8,18,0,1.7
Naples,summer,east_or_west,8,18,1,2.1
Naples,summer,east_or_west,8,18,2,2.6
Naples,summer,east_or_west,8,18,3,3.4
Naples,summer,east_or_west,8,18,4,4.6
Naples,summer,east_or_west,8,18,5,6.4
Naples,summer,east_or_west,12,18,0,2.5
Naples,summer,east_or_west,12,18,1,3
Naples,summer,east_or_west,12,18,2,3.6
Naples,summer,east_or_west,12,18,3,4.4
Naples,summer,east_or_west,12,18,4,5.5
Naples,summer,east_or_west,12,18,5,6.7
